,省份,城市,nowConfirm,confirm,dead,heal
174,江苏,连云港,0,48,0,48
175,江苏,南通,0,40,0,40
176,江苏,苏州,0,87,0,87
177,江苏,南京,0,93,0,93
178,江苏,无锡,0,55,0,55
179,江苏,徐州,0,79,0,79
180,江苏,宿迁,0,13,0,13
181,江苏,淮安,0,66,0,66
182,江苏,镇江,0,12,0,12
183,江苏,常州,0,51,0,51
184,江苏,扬州,0,23,0,23
185,江苏,盐城,0,27,0,27
186,江苏,泰州,0,37,0,37
187,四川,境外输入,16,21,0,5
188,四川,甘孜,0,78,0,78
189,四川,自贡,0,9,0,9
190,四川,攀枝花,0,16,0,16
191,四川,泸州,0,24,0,24
192,四川,德阳,0,18,0,18
193,四川,绵阳,0,22,0,22
194,四川,广元,0,6,0,6
195,四川,遂宁,0,17,0,17
196,四川,内江,0,22,0,22
197,四川,凉山,0,13,0,13
198,四川,成都,0,144,3,141
199,四川,阿坝,0,1,0,1
200,四川,资阳,0,4,0,4
201,四川,眉山,0,8,0,8
202,四川,雅安,0,7,0,7
203,四川,巴中,0,24,0,24
204,四川,达州,0,42,0,42
205,四川,广安,0,30,0,30
206,四川,宜宾,0,12,0,12
207,四川,南充,0,39,0,39
208,四川,乐山,0,3,0,3
209,辽宁,境外输入,10,20,0,10
210,辽宁,大连,1,18,0,17
211,辽宁,鞍山,0,4,0,4
212,辽宁,朝阳市,0,6,1,5
213,辽宁,丹东,0,11,0,11
214,辽宁,葫芦岛,0,12,1,11
215,辽宁,铁岭,0,7,0,7
216,辽宁,沈阳,0,28,0,28
217,辽宁,锦州,0,12,0,12
218,辽宁,盘锦,0,11,0,11
219,辽宁,阜新,0,8,0,8
220,辽宁,本溪,0,3,0,3
221,辽宁,辽阳,0,3,0,3
222,辽宁,营口,0,1,0,1
223,云南,境外输入,9,10,0,1
224,云南,昭通市,0,25,0,25
225,云南,德宏州,0,5,0,5
226,云南,昆明,0,53,0,53
227,云南,保山市,0,9,0,9
228,云南,玉溪,0,14,1,13
229,云南,红河,0,9,0,9
230,云南,曲靖,0,13,0,13
231,云南,大理,0,13,0,13
232,云南,西双版纳州,0,15,1,14
233,云南,文山州,0,2,0,2
234,云南,普洱,0,4,0,4
235,云南,楚雄州,0,4,0,4
236,云南,丽江市,0,7,0,7
237,云南,临沧,0,1,0,1
238,河北,境外输入,8,9,0,1
239,河北,唐山,0,58,1,57
240,河北,张家口,0,41,0,41
241,河北,邯郸,0,32,0,32
242,河北,石家庄,0,29,0,29
243,河北,承德,0,7,0,7
244,河北,衡水,0,8,0,8
245,河北,秦皇岛,0,10,1,9
246,河北,邢台,0,23,1,22
247,河北,廊坊,0,30,0,30
248,河北,保定,0,32,0,32
249,河北,沧州,0,48,3,45
250,陕西,境外输入,7,11,0,4
251,陕西,韩城,0,1,0,1
252,陕西,渭南,0,15,0,15
253,陕西,咸阳,0,17,0,17
254,陕西,西安,0,120,3,117
255,陕西,汉中,0,26,0,26
256,陕西,杨凌,0,1,0,1
257,陕西,地区待确认,0,0,0,0
258,陕西,榆林,0,3,0,3
259,陕西,商洛,0,7,0,7
260,陕西,铜川,0,8,0,8
261,陕西,延安,0,8,0,8
262,陕西,宝鸡,0,13,0,13
263,陕西,安康,0,26,0,26
264,吉林,境外输入,4,5,0,1
265,吉林,通化,0,6,0,6
266,吉林,长春,0,45,0,45
267,吉林,白城,0,1,0,1
268,吉林,四平,0,15,1,14
269,吉林,公主岭,0,6,0,6
270,吉林,辽源,0,7,0,7
271,吉林,延边,0,5,0,5
272,吉林,吉林,0,5,0,5
273,吉林,松原,0,2,0,2
274,吉林,梅河口市,0,1,0,1
275,重庆,境外输入,3,3,0,0
276,重庆,涪陵区,0,5,0,5
277,重庆,綦江区,0,23,0,23
278,重庆,长寿区,0,22,0,22
279,重庆,大足区,0,14,0,14
280,重庆,九龙坡区,0,21,1,20
281,重庆,江北区,0,28,0,28
282,重庆,沙坪坝区,0,9,0,9
283,重庆,丰都县,0,10,0,10
284,重庆,潼南区,0,18,0,18
285,重庆,铜梁区,0,10,0,10
286,重庆,南岸区,0,15,0,15
287,重庆,万州区,0,118,4,114
288,重庆,两江新区,0,17,0,17
289,重庆,巴南区,0,6,0,6
290,重庆,渝中区,0,20,0,20
291,重庆,垫江县,0,20,0,20
292,重庆,云阳县,0,25,0,25
293,重庆,奉节县,0,22,0,22
294,重庆,石柱县,0,15,0,15
295,重庆,荣昌区,0,9,0,9
296,重庆,渝北区,0,17,0,17
297,重庆,彭水县,0,2,0,2
298,重庆,忠县,0,21,0,21
299,重庆,开州区,0,21,1,20
300,重庆,合川区,0,23,0,23
301,重庆,大渡口区,0,7,0,7
302,重庆,巫溪县,0,14,0,14
303,重庆,巫山县,0,10,0,10
304,重庆,万盛经开区,0,1,0,1
305,重庆,酉阳县,0,1,0,1
306,重庆,璧山区,0,9,0,9
307,重庆,高新区,0,4,0,4
308,重庆,永川区,0,5,0,5
309,重庆,江津区,0,4,0,4
310,重庆,武隆区,0,1,0,1
311,重庆,梁平区,0,4,0,4
312,重庆,城口县,0,2,0,2
313,重庆,黔江区,0,2,0,2
314,重庆,秀山县,0,1,0,1
315,甘肃,境外输入,2,47,0,45
316,甘肃,白银,0,4,0,4
317,甘肃,定西,0,9,0,9
318,甘肃,地区待确认,0,0,0,0
319,甘肃,平凉,0,9,0,9
320,甘肃,庆阳,0,3,0,3
321,甘肃,兰州,0,37,2,35
322,甘肃,甘南州,0,8,0,8
323,甘肃,天水,0,12,0,12
324,甘肃,陇南,0,4,0,4
325,甘肃,临夏,0,3,0,3
326,甘肃,张掖,0,2,0,2
327,甘肃,金昌,0,1,0,1
328,河南,境外输入,1,3,0,2
329,河南,漯河,1,36,0,35
330,河南,许昌,0,39,1,38
331,河南,地区待确认,0,0,0,0
332,河南,周口,0,76,1,75
333,河南,信阳,0,274,2,272
334,河南,郑州,0,157,5,152
335,河南,济源示范区,0,5,0,5
336,河南,安阳,0,53,0,53
337,河南,新乡,0,57,3,54
338,河南,南阳,0,156,3,153
339,河南,商丘,0,91,3,88
340,河南,驻马店,0,139,0,139
341,河南,焦作,0,32,1,31
342,河南,开封,0,26,0,26
343,河南,平顶山,0,58,1,57
344,河南,洛阳,0,31,1,30
345,河南,濮阳,0,17,0,17
346,河南,鹤壁,0,19,0,19
347,河南,三门峡,0,7,1,6
348,湖南,境外输入,1,1,0,0
349,湖南,张家界,0,5,0,5
350,湖南,娄底,0,76,0,76
351,湖南,怀化,0,40,0,40
352,湖南,永州,0,44,0,44
353,湖南,郴州,0,39,0,39
354,湖南,益阳,0,60,0,60
355,湖南,湘西自治州,0,8,0,8
356,湖南,常德,0,82,0,82
357,湖南,岳阳,0,156,1,155
358,湖南,邵阳,0,102,1,101
359,湖南,湘潭,0,36,0,36
360,湖南,株洲,0,80,0,80
361,湖南,衡阳,0,48,0,48
362,湖南,长沙,0,242,2,240
