,省份,城市,nowConfirm,confirm,dead,heal
174,江苏,连云港,0,48,0,48
175,江苏,南通,0,40,0,40
176,江苏,苏州,0,87,0,87
177,江苏,南京,0,93,0,93
178,江苏,无锡,0,55,0,55
179,江苏,徐州,0,79,0,79
180,江苏,宿迁,0,13,0,13
181,江苏,淮安,0,66,0,66
182,江苏,镇江,0,12,0,12
183,江苏,常州,0,51,0,51
184,江苏,扬州,0,23,0,23
185,江苏,盐城,0,27,0,27
186,江苏,泰州,0,37,0,37
187,河北,境外输入,6,10,0,4
188,河北,唐山,0,58,1,57
189,河北,张家口,0,41,0,41
190,河北,邯郸,0,32,0,32
191,河北,石家庄,0,29,0,29
192,河北,承德,0,7,0,7
193,河北,衡水,0,8,0,8
194,河北,秦皇岛,0,10,1,9
195,河北,邢台,0,23,1,22
196,河北,廊坊,0,30,0,30
197,河北,保定,0,32,0,32
198,河北,沧州,0,48,3,45
199,云南,境外输入,5,10,0,5
200,云南,昭通市,0,25,0,25
201,云南,德宏州,0,5,0,5
202,云南,昆明,0,53,0,53
203,云南,保山市,0,9,0,9
204,云南,玉溪,0,14,1,13
205,云南,红河,0,9,0,9
206,云南,曲靖,0,13,0,13
207,云南,大理,0,13,0,13
208,云南,西双版纳州,0,15,1,14
209,云南,文山州,0,2,0,2
210,云南,普洱,0,4,0,4
211,云南,楚雄州,0,4,0,4
212,云南,丽江市,0,7,0,7
213,云南,临沧,0,1,0,1
214,四川,境外输入,5,21,0,16
215,四川,凉山,0,13,0,13
216,四川,乐山,0,3,0,3
217,四川,成都,0,144,3,141
218,四川,自贡,0,9,0,9
219,四川,攀枝花,0,16,0,16
220,四川,泸州,0,24,0,24
221,四川,德阳,0,18,0,18
222,四川,绵阳,0,22,0,22
223,四川,广元,0,6,0,6
224,四川,遂宁,0,17,0,17
225,四川,内江,0,22,0,22
226,四川,甘孜,0,78,0,78
227,四川,阿坝,0,1,0,1
228,四川,资阳,0,4,0,4
229,四川,眉山,0,8,0,8
230,四川,雅安,0,7,0,7
231,四川,巴中,0,24,0,24
232,四川,达州,0,42,0,42
233,四川,广安,0,30,0,30
234,四川,宜宾,0,12,0,12
235,四川,南充,0,39,0,39
236,吉林,境外输入,4,9,0,5
237,吉林,通化,0,6,0,6
238,吉林,长春,0,45,0,45
239,吉林,白城,0,1,0,1
240,吉林,四平,0,15,1,14
241,吉林,公主岭,0,6,0,6
242,吉林,辽源,0,7,0,7
243,吉林,延边,0,5,0,5
244,吉林,吉林,0,5,0,5
245,吉林,松原,0,2,0,2
246,吉林,梅河口市,0,1,0,1
247,辽宁,境外输入,2,21,0,19
248,辽宁,抚顺,1,1,0,0
249,辽宁,大连,1,18,0,17
250,辽宁,铁岭,0,7,0,7
251,辽宁,朝阳市,0,6,1,5
252,辽宁,丹东,0,11,0,11
253,辽宁,葫芦岛,0,12,1,11
254,辽宁,沈阳,0,28,0,28
255,辽宁,鞍山,0,4,0,4
256,辽宁,锦州,0,12,0,12
257,辽宁,盘锦,0,11,0,11
258,辽宁,阜新,0,8,0,8
259,辽宁,本溪,0,3,0,3
260,辽宁,辽阳,0,3,0,3
261,辽宁,营口,0,1,0,1
262,重庆,境外输入,3,3,0,0
263,重庆,涪陵区,0,5,0,5
264,重庆,荣昌区,0,9,0,9
265,重庆,长寿区,0,22,0,22
266,重庆,大足区,0,14,0,14
267,重庆,江北区,0,28,0,28
268,重庆,沙坪坝区,0,9,0,9
269,重庆,丰都县,0,10,0,10
270,重庆,潼南区,0,18,0,18
271,重庆,铜梁区,0,10,0,10
272,重庆,南岸区,0,15,0,15
273,重庆,九龙坡区,0,21,1,20
274,重庆,两江新区,0,17,0,17
275,重庆,万州区,0,118,4,114
276,重庆,巴南区,0,6,0,6
277,重庆,渝中区,0,20,0,20
278,重庆,垫江县,0,20,0,20
279,重庆,云阳县,0,25,0,25
280,重庆,奉节县,0,22,0,22
281,重庆,石柱县,0,15,0,15
282,重庆,綦江区,0,23,0,23
283,重庆,渝北区,0,17,0,17
284,重庆,彭水县,0,2,0,2
285,重庆,忠县,0,21,0,21
286,重庆,开州区,0,21,1,20
287,重庆,合川区,0,23,0,23
288,重庆,大渡口区,0,7,0,7
289,重庆,巫溪县,0,14,0,14
290,重庆,巫山县,0,10,0,10
291,重庆,万盛经开区,0,1,0,1
292,重庆,酉阳县,0,1,0,1
293,重庆,璧山区,0,9,0,9
294,重庆,高新区,0,4,0,4
295,重庆,永川区,0,5,0,5
296,重庆,江津区,0,4,0,4
297,重庆,武隆区,0,1,0,1
298,重庆,梁平区,0,4,0,4
299,重庆,城口县,0,2,0,2
300,重庆,黔江区,0,2,0,2
301,重庆,秀山县,0,1,0,1
302,陕西,境外输入,1,11,0,10
303,陕西,韩城,0,1,0,1
304,陕西,渭南,0,15,0,15
305,陕西,咸阳,0,17,0,17
306,陕西,西安,0,120,3,117
307,陕西,汉中,0,26,0,26
308,陕西,杨凌,0,1,0,1
309,陕西,地区待确认,0,0,0,0
310,陕西,榆林,0,3,0,3
311,陕西,商洛,0,7,0,7
312,陕西,铜川,0,8,0,8
313,陕西,延安,0,8,0,8
314,陕西,宝鸡,0,13,0,13
315,陕西,安康,0,26,0,26
316,贵州,境外输入,1,1,0,0
317,贵州,贵阳,0,36,1,35
318,贵州,遵义,0,32,0,32
319,贵州,六盘水,0,10,1,9
320,贵州,毕节,0,23,0,23
321,贵州,黔南州,0,17,0,17
322,贵州,安顺,0,4,0,4
323,贵州,黔东南州,0,10,0,10
324,贵州,铜仁,0,10,0,10
325,贵州,黔西南州,0,4,0,4
326,安徽,境外输入,1,1,0,0
327,安徽,滁州,0,13,0,13
328,安徽,宣城,0,6,0,6
329,安徽,池州,0,17,0,17
330,安徽,亳州,0,108,0,108
331,安徽,六安,0,69,0,69
332,安徽,宿州,0,41,0,41
333,安徽,阜阳,0,155,0,155
334,安徽,黄山,0,9,0,9
335,安徽,安庆,0,83,0,83
336,安徽,铜陵,0,29,0,29
337,安徽,淮北,0,27,0,27
338,安徽,马鞍山,0,38,0,38
339,安徽,淮南,0,27,0,27
340,安徽,蚌埠,0,160,5,155
341,安徽,芜湖,0,34,0,34
342,安徽,合肥,0,174,1,173
343,湖南,境外输入,1,1,0,0
344,湖南,张家界,0,5,0,5
345,湖南,娄底,0,76,0,76
346,湖南,怀化,0,40,0,40
347,湖南,永州,0,44,0,44
348,湖南,郴州,0,39,0,39
349,湖南,益阳,0,60,0,60
350,湖南,湘西自治州,0,8,0,8
351,湖南,常德,0,82,0,82
352,湖南,岳阳,0,156,1,155
353,湖南,邵阳,0,102,1,101
354,湖南,湘潭,0,36,0,36
355,湖南,株洲,0,80,0,80
356,湖南,衡阳,0,48,0,48
357,湖南,长沙,0,242,2,240
358,甘肃,境外输入,0,47,0,47
359,甘肃,兰州,0,37,2,35
360,甘肃,定西,0,9,0,9
361,甘肃,地区待确认,0,0,0,0
