,country,confirm,heal,dead,healRate,deadRate
0,阿尔及利亚,2070,691,326,33.38,15.75
1,比利时,31119,6868,4157,22.07,13.36
2,意大利,162488,37130,21067,22.85,12.97
3,英国,94845,323,12129,0.34,12.79
4,法国,131361,29098,15748,22.15,11.99
5,荷兰,27580,297,2955,1.08,10.71
6,西班牙,174060,67504,18255,38.78,10.49
7,印度尼西亚,4839,426,459,8.80,9.49
8,瑞典,11445,381,1033,3.33,9.03
9,匈牙利,1512,122,122,8.07,8.07
